problem,method,c1,c2,alpha,tau,iterations,converged,f_final,grad_norm,func_evals,time,timeout
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.3,4,True,3.9866238543009347,6.467101064137051e-07,4,0.004804134368896484,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.4,4,True,3.9866238543009347,6.467101064137051e-07,4,0.0047245025634765625,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.5,4,True,3.9866238543009347,6.467101064137051e-07,4,0.0076787471771240234,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.6,4,True,3.9866238543009347,6.467101064137051e-07,4,0.0045816898345947266,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.7,4,True,3.9866238543009347,6.467101064137051e-07,4,0.006928682327270508,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.8,4,True,3.9866238543009347,6.467101064137051e-07,4,0.008156061172485352,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.9,4,True,3.9866238543009347,6.467101064137051e-07,4,0.004949092864990234,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.1,4,True,3.9866238543009347,6.467101064137051e-07,4,0.004986763000488281,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.2,4,True,3.9866238543009347,6.467101064137051e-07,4,0.0051577091217041016,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.3,4,True,3.9866238543009347,6.467101064137051e-07,4,0.005365848541259766,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.4,4,True,3.9866238543009347,6.467101064137051e-07,4,0.005232810974121094,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.5,4,True,3.9866238543009347,6.467101064137051e-07,4,0.004907131195068359,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.6,4,True,3.9866238543009347,6.467101064137051e-07,4,0.005306720733642578,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.7,4,True,3.9866238543009347,6.467101064137051e-07,4,0.00472712516784668,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.8,4,True,3.9866238543009347,6.467101064137051e-07,4,0.005096912384033203,False
P8_Extended_Rosenbrock_n100,Modified_Newton_armijo,0.0001,,1.0,0.9,4,True,3.9866238543009347,6.467101064137051e-07,4,0.0051059722900390625,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.1,127,True,3.9866238543009342,1.3882965616554748e-06,425,0.3372015953063965,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.2,119,True,3.986623854300934,1.322664835064515e-06,512,0.6698496341705322,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.3,118,True,3.986623854300936,1.3505614651201081e-06,620,0.6819789409637451,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.4,113,True,3.9866238543009347,1.4016334007371106e-06,772,0.511458158493042,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.5,109,True,3.9866238543009347,1.2619406414966123e-06,967,1.2096166610717773,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.6,110,True,3.9866238543009342,1.7379226315890241e-06,1244,1.3560593128204346,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.7,107,True,3.9866238543009356,1.729375655009828e-06,1694,1.9669978618621826,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.8,116,True,3.986623854300934,1.3053766298315363e-06,2634,1.4340462684631348,False
P8_Extended_Rosenbrock_n100,BFGS_armijo,0.3,,0.5,0.9,117,True,3.9866238543009347,1.512620139829014e-06,5398,3.784284830093384,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.1,118,True,3.986623854300934,1.4440998080673084e-06,328,0.26528167724609375,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.2,113,True,3.9866238543009342,7.254439195514623e-07,397,0.2870917320251465,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.3,111,True,3.9866238543009347,9.101685413968534e-07,479,0.29430365562438965,False
P8_Extended_Rosenbrock_n100,DFP_armijo,0.2,,1.3,0.4,111,True,3.9866238543009347,1.1545658937022248e-06,588,0.3402271270751953,False
