problem,method,c1,c2,alpha,iterations,converged,f_final,grad_norm,func_evals,time,linesearch
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,1.0,2000,False,0.00022614793925224456,0.013619469039247389,2758,0.06061220169067383,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,1.3,2000,False,0.00018889756164659747,0.012621632646223823,2758,0.05442309379577637,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,1.5,2000,False,0.00020987716448865585,0.013175429731125567,2746,0.055596351623535156,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,1.7,2000,False,0.00017482281772287256,0.011973863657794803,2768,0.06329607963562012,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,1.9,2000,False,0.00022156623497462363,0.022253897743038653,2781,0.05692648887634277,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,2.0,2000,False,0.00022614793925224456,0.013619469039247389,2759,0.0576779842376709,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,0.1,2000,False,0.00025720899606505475,0.017952737573122064,2748,0.06332945823669434,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,0.3,2000,False,0.0002486811897155735,0.014529957418239318,2782,0.05549454689025879,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,0.5,2000,False,0.00023086203079804394,0.015969594265141957,2778,0.05981564521789551,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,0.7,2000,False,0.0002467851283483554,0.014283054163153544,2764,0.062096357345581055,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,1.0,2000,False,0.00023086203079804394,0.015969594265141957,2779,0.058965444564819336,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,1.3,2000,False,0.00019065199093409667,0.012493711043888151,2818,0.05558037757873535,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,1.5,2000,False,0.00024956091708633484,0.014827387723606623,2773,0.06541156768798828,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,1.7,2000,False,0.0002509612537728333,0.03895520964967478,2797,0.06493043899536133,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,1.9,2000,False,0.00021397135937579635,0.013822241806657,2785,0.05997300148010254,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.1,,2.0,2000,False,0.00023086203079804394,0.015969594265141957,2780,0.055502891540527344,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,0.1,2000,False,0.0002931267891648806,0.015560538642907363,2828,0.058426856994628906,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,0.3,2000,False,0.0003209729891079124,0.035549452156923254,2833,0.05977320671081543,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,0.5,2000,False,0.0003221722911358465,0.019824151280686885,2828,0.05585360527038574,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,0.7,2000,False,0.00023853625892958225,0.027419631560370732,2853,0.05934906005859375,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,1.0,2000,False,0.0003221722911358465,0.019824151280686885,2829,0.05760002136230469,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,1.3,2000,False,0.0002597564668958222,0.014613664441257168,2843,0.05818343162536621,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,1.5,2000,False,0.0002791758433627092,0.015410723553940502,2810,0.05630803108215332,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,1.7,2000,False,0.00026098812611906016,0.015625017683396896,2862,0.05688142776489258,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,1.9,2000,False,0.00027531025957662904,0.01640231416506389,2851,0.05715537071228027,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.2,,2.0,2000,False,0.0003221722911358465,0.019824151280686885,2830,0.06102919578552246,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,0.1,2000,False,0.000336060925410209,0.016942142238832794,2951,0.05525016784667969,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,0.3,2000,False,0.00037243663707446433,0.02444061672305163,2950,0.06354188919067383,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,0.5,2000,False,0.0003282595049711661,0.018565858485384282,2956,0.07078266143798828,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,0.7,2000,False,0.00047864845631165337,0.021627976947825554,2889,0.0858616828918457,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,1.0,2000,False,0.0003282595049711661,0.018565858485384282,2957,0.05907797813415527,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,1.3,2000,False,0.0003632789949006296,0.017423057900691517,2959,0.06122612953186035,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.3,,1.5,2000,False,0.00025749614538724544,0.02208566626089643,3002,0.0600738525390625,Armijo
